time_created,model_type,model_id,model_path,dataset,layer_depth,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,hidden_layer_6,hidden_layer_7,hidden_layer_8,hidden_layer_9,training_time,loss,iterations,mse,rmse,mae,mae_percentage,max_error,r2
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_5_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_5/MLPRegressor_5_x5_ds1/model.pkl,ds1,5,5,5,5,5,5,0,0,0,0,2.156,0.0145912732119039,101,0.0293268733047621,0.1712509074567553,0.1424538996243378,11098.703704041023,62350.55169995893,-0.0013811612500456
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_50_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_50/MLPRegressor_50_x1_ds1/model.pkl,ds1,1,50,0,0,0,0,0,0,0,0,54.003,0.0005339297573287,2411,0.0007298673613504,0.0270160574723705,0.0196124373134265,1532.5623607388734,16728.312101394717,0.9750783038385168
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_50_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_50/MLPRegressor_50_x2_ds1/model.pkl,ds1,2,50,50,0,0,0,0,0,0,0,92.685,0.0005140865445005,2080,0.0006259351179921,0.0250186953695054,0.0177682589218468,1392.670964890122,17259.52717897248,0.9786271237029436
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_50_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_50/MLPRegressor_50_x3_ds1/model.pkl,ds1,3,50,50,50,0,0,0,0,0,0,142.373,0.0005897867062108,2147,0.0007501841114341,0.0273894890685118,0.0200710637644581,1564.075571742823,17139.34765656502,0.9743845779653144
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_50_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_50/MLPRegressor_50_x4_ds1/model.pkl,ds1,4,50,50,50,50,0,0,0,0,0,160.798,0.0006370002499651,1781,0.000731738302113,0.0270506617684859,0.0193701876669055,1509.8628851530395,17681.983769848066,0.975014419604626
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_50_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_50/MLPRegressor_50_x5_ds1/model.pkl,ds1,5,50,50,50,50,50,0,0,0,0,194.258,0.0007762946338755,1738,0.0008349827873728,0.0288960687183028,0.0210057795938136,1627.2319736180682,17010.107698070187,0.9714890835939376
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_25_lr0.0001_ds1fe1,Models/neural_networks/mlp_regressor/learning_rate_testing/MLPRegressor_25_lr0.0001_ds1fe1/model.pkl,ds1fe1,1,25,0,0,0,0,0,0,0,0,8.761,6.928072209250606e-05,440,0.0001055300383798,0.0102727814334678,0.0074061684987211,589.99455672224,7194.826723303116,0.9963966226033932
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_25_lr0.001_ds1fe1,Models/neural_networks/mlp_regressor/learning_rate_testing/MLPRegressor_25_lr0.001_ds1fe1/model.pkl,ds1fe1,1,25,0,0,0,0,0,0,0,0,9.129,0.0002605485488073,491,0.000333852579543,0.0182716331930963,0.0137890687606521,1062.5570027180086,10553.153407647986,0.9886004320912428
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_25_lr0.01_ds1fe1,Models/neural_networks/mlp_regressor/learning_rate_testing/MLPRegressor_25_lr0.01_ds1fe1/model.pkl,ds1fe1,1,25,0,0,0,0,0,0,0,0,1.491,0.0149924725230852,75,0.0293170317405955,0.171222170704017,0.1412982734389667,11110.823995850902,63539.82381014525,-0.0010451159836011
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_25_lr0.1_ds1fe1,Models/neural_networks/mlp_regressor/learning_rate_testing/MLPRegressor_25_lr0.1_ds1fe1/model.pkl,ds1fe1,1,25,0,0,0,0,0,0,0,0,3.52,0.0176714590470966,134,0.0292871659442092,0.171134934902869,0.1418491534836744,11099.111140258188,62900.47380171848,-2.5333016757223e-05
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_25_lr1e-05_ds1fe1,Models/neural_networks/mlp_regressor/learning_rate_testing/MLPRegressor_25_lr1e-05_ds1fe1/model.pkl,ds1fe1,1,25,0,0,0,0,0,0,0,0,76.42,4.2081829761159006e-05,3861,6.197613219858576e-05,0.0078724921212145,0.0057374319395094,454.2202636300158,6281.027504865122,0.997883793114054
